pH Level,Fat Content (%),Density (kg/m³),Temperature (°C),Quality
6.56,5.3,1034,5.3,Good
7.43,4.6,1031,6.7,Good
7.1,3.7,1035,6.9,Good
6.9,5.8,1038,9.9,Good
6.23,5.2,1027,6.6,Poor
6.23,3.2,1036,8.9,Poor
6.09,6.1,1024,12.2,Poor
7.3,5.8,1035,11.2,Poor
6.9,6.3,1025,7.8,Good
7.06,5.4,1027,13.2,Poor
6.03,5.0,1037,9.3,Poor
7.45,4.2,1031,9.0,Good
7.25,6.2,1034,2.4,Good
6.32,6.0,1028,14.8,Poor
6.27,2.7,1032,3.6,Poor
6.28,2.6,1034,5.0,Poor
6.46,4.0,1029,2.7,Poor
6.79,5.7,1035,10.3,Poor
6.65,6.4,1026,4.9,Good
6.44,3.1,1036,4.3,Poor
6.92,4.9,1026,3.2,Good
6.21,4.0,1033,3.3,Poor
6.44,6.4,1034,9.6,Poor
6.55,5.9,1026,10.9,Poor
6.68,5.9,1028,7.2,Good
7.18,4.4,1038,8.2,Good
6.3,4.2,1035,10.9,Poor
6.77,3.6,1027,2.2,Good
6.89,2.7,1037,6.2,Poor
6.07,6.0,1037,14.7,Poor
6.91,5.8,1039,9.5,Good
6.26,6.5,1026,5.3,Poor
6.1,6.5,1022,8.8,Poor
7.42,4.7,1037,6.5,Good
7.45,5.6,1029,8.9,Good
7.21,6.3,1026,3.6,Good
6.46,5.9,1036,3.7,Poor
6.15,3.5,1033,3.9,Poor
7.03,4.3,1022,14.2,Poor
6.66,3.0,1031,11.5,Poor
6.18,6.3,1032,4.1,Poor
6.74,4.9,1021,4.4,Poor
6.05,3.4,1022,11.5,Poor
7.36,5.2,1024,4.0,Poor
6.39,5.0,1030,5.0,Poor
6.99,3.9,1027,14.5,Poor
6.47,3.0,1031,5.3,Poor
6.78,5.2,1026,10.6,Poor
6.82,4.6,1034,14.7,Poor
6.28,5.6,1036,6.9,Poor
7.45,4.6,1023,2.2,Poor
7.16,5.9,1032,5.2,Good
7.41,4.7,1037,12.8,Poor
7.34,4.7,1020,13.2,Poor
6.9,6.0,1035,12.0,Poor
7.38,4.1,1032,3.5,Good
6.13,3.0,1029,12.3,Poor
6.29,2.6,1031,13.9,Poor
6.07,5.5,1021,9.8,Poor
6.49,5.0,1022,14.2,Poor
6.58,5.3,1029,12.7,Poor
6.41,3.4,1021,10.7,Poor
7.24,3.0,1032,9.5,Good
6.54,2.6,1032,6.5,Poor
6.42,3.9,1037,4.1,Poor
6.81,4.9,1022,9.9,Poor
6.21,4.1,1026,6.1,Poor
7.2,4.2,1033,13.3,Poor
6.11,6.1,1039,14.9,Poor
7.48,3.9,1036,11.8,Poor
7.16,4.6,1031,3.2,Good
6.3,5.6,1035,5.8,Poor
6.01,4.1,1031,3.4,Poor
7.22,5.0,1034,10.5,Poor
7.06,5.9,1029,11.9,Poor
7.09,6.3,1026,14.0,Poor
7.16,3.1,1039,7.7,Good
6.11,6.2,1024,13.7,Poor
6.54,4.5,1020,13.4,Poor
6.17,3.5,1036,6.1,Poor
7.29,4.3,1022,13.3,Poor
6.93,6.4,1032,6.9,Good
6.5,4.5,1033,5.9,Good
6.1,3.8,1037,10.4,Poor
6.47,5.0,1023,6.3,Poor
6.49,3.5,1037,10.2,Poor
7.09,2.8,1024,9.9,Poor
6.96,3.0,1035,9.3,Good
7.33,3.0,1020,6.9,Poor
6.71,3.1,1033,9.1,Good
6.18,3.1,1034,9.8,Poor
7.07,5.1,1028,9.1,Good
7.14,3.2,1034,7.8,Good
6.84,3.9,1036,2.2,Good
7.16,6.1,1023,9.6,Poor
6.74,4.4,1031,4.2,Good
6.78,5.2,1024,10.4,Poor
6.64,3.2,1024,11.9,Poor
6.04,3.3,1030,8.5,Poor
6.16,2.7,1025,9.1,Poor
6.05,3.2,1026,14.4,Poor
6.95,3.6,1033,13.0,Poor
6.47,3.2,1030,13.9,Poor
6.76,2.9,1032,12.6,Poor
7.36,3.0,1021,3.4,Poor
6.37,4.3,1026,3.9,Poor
6.62,3.3,1039,8.8,Good
7.13,4.0,1023,5.2,Poor
6.34,4.5,1027,8.2,Poor
6.12,5.3,1039,7.1,Poor
6.43,2.7,1038,9.1,Poor
6.24,5.7,1032,11.7,Poor
7.39,5.0,1033,11.3,Poor
7.21,2.8,1029,8.8,Poor
6.95,6.0,1030,12.7,Poor
7.31,6.2,1021,7.6,Poor
7.21,2.7,1028,13.7,Poor
6.28,3.6,1036,2.9,Poor
7.34,5.7,1022,14.4,Poor
6.81,5.5,1025,10.5,Poor
7.21,3.2,1024,6.9,Poor
7.34,3.3,1024,4.6,Poor
6.48,4.0,1034,8.2,Poor
6.17,4.4,1036,4.5,Poor
6.34,5.0,1028,4.2,Poor
6.64,4.0,1022,10.0,Poor
7.23,4.4,1039,8.8,Good
7.29,5.5,1036,10.7,Poor
6.01,2.6,1029,14.1,Poor
6.77,3.5,1022,8.9,Poor
6.63,5.4,1037,9.6,Good
6.33,6.1,1037,3.2,Poor
6.18,4.5,1036,11.3,Poor
6.51,4.6,1022,7.2,Poor
7.41,2.9,1022,14.7,Poor
